adr_idx,adr_id,adr_name
427,C0232431,Cold sweat
428,C0232461,Increased appetite
429,C0233407,Disorientation
430,C0233414,Disturbance in attention
431,C0233477,Dysphoria
432,C0233488,Feeling of despair
433,C0233565,Bradykinesia
434,C1306341,Mental disability
435,C0233632,Thinking abnormal
436,C0233651,Perseveration
437,C0233754,Derealisation
438,C0233762,"Hallucination, auditory"
439,C0233794,Memory impairment
440,C0233973,Painful erection
441,C0234458,Abnormal dreams
442,C0234708,Intraocular pressure increased
443,C0234913,Rash erythematous
444,C0235086,Muscle contractions involuntary
445,C0235146,Euphoric mood
446,C1262141,Poor quality sleep
447,C0917801,Insomnia
448,C0235378,Hepatotoxicity
449,C0235857,Lacrimation decreased
450,C0235996,Hepatic enzyme increased
451,C0236000,Pain in jaw
452,C0236068,Swollen tongue
453,C0237314,Heart rate irregular
454,C0239062,Circumoral oedema
455,C0239729,Genital rash
456,C0239739,Gingival pain
457,C0239978,Frequent bowel movements
458,C0020453,Hyperaesthesia
459,C0240515,Nipple pain
460,C0240811,Prostate infection
461,C0241060,Dermal cyst
462,C0241934,Hypomania
463,C0948349,Respiratory tract congestion
464,C0242073,Pulmonary congestion
465,C0242350,Erectile dysfunction
466,C0242422,Parkinsonism
467,C1384666,Hearing impaired
468,C0262397,Breast tenderness
469,C0264309,Vocal cord disorder
470,C0272426,Mouth injury
471,C0273482,Nerve compression
472,C0161479,Nerve injury
473,C0277925,Peripheral coldness
474,C0278107,Painful ejaculation
475,C0339916,Viral upper respiratory tract infection
476,C0344315,Depressed mood
477,C0392156,Akathisia
478,C0521839,Influenza like illness
479,C1291078,Epigastric discomfort
480,C0393760,Initial insomnia
481,C0393761,Middle insomnia
482,C0409497,Joint injury
483,C0423798,Increased tendency to bruise
484,C0424000,Suicidal ideation
485,C0424295,Hyperkinesia
486,C1260922,Respiration abnormal
487,C0426636,Defaecation urgency
488,C0435002,Ligament sprain
489,C0435630,Wrist fracture
490,C0455769,Energy increased
491,C0474378,Hair colour changes
492,C0475858,Pruritus generalised
493,C0476254,Dyslexia
494,C0497156,Lymphadenopathy
495,C0497209,Conjunctivitis infective
496,C0518988,Tooth abscess
497,C0587094,Breast calcifications
498,C0520966,Coordination abnormal
499,C0521591,Paraesthesia oral
500,C0521592,Hypoaesthesia oral
501,C0038435,Stress
502,C0522178,Self-injurious ideation
503,C0541798,Terminal insomnia
504,C0542571,Face oedema
505,C3665347,Visual impairment
506,C0549209,Feeling jittery
507,C0549249,Depressed level of consciousness
508,C0150450,Altered state of consciousness
509,C1609512,Vulvovaginal mycotic infection
510,C0549622,Sexual dysfunction
511,C0555724,Lip dry
512,C0520587,Vulvovaginal discomfort
513,C0558489,Renal pain
514,C0563238,Gastritis viral
515,C0856604,Rubber sensitivity
516,C0581912,Sensation of heaviness
517,C0600142,Hot flush
518,C0236075,Menopausal symptoms
519,C0686347,Tardive dyskinesia
520,C0699744,Ear infection
521,C0700184,Throat irritation
522,C0702166,Acne
523,C0743668,Limb injury
524,C1384353,Infestation
525,C0852919,Animal scratch
526,C0853348,Arthropod bite
527,C0855235,Feelings of worthlessness
528,C0855237,Social avoidant behaviour
529,C0549373,Laryngeal pain
530,C0877046,Tooth infection
531,C0877179,Injection site joint pain
532,C1619712,Procedural pain
533,C0877322,Muscle tightness
534,C0878773,Hypertonic bladder
535,C0917799,Hypersomnia
536,C0948525,Musculoskeletal stiffness
537,C1112537,Neurological examination abnormal
538,C1167677,Infrequent bowel movements
539,C1260880,Rhinorrhoea
540,C1328308,Increased upper airway secretion
541,C1384606,Dyspareunia
542,C1510410,Parosmia
543,C1542178,Lower limb fracture
544,C2584688,Testicular swelling
545,C0235969,Ejaculation disorder
546,C2939147,Feeling hot
547,C2979982,Vaginal haemorrhage
548,C0000768,Congenital anomaly
549,C0424605,Developmental delay
550,C0004623,Bacterial infection
551,C0005741,Blepharitis
552,C0005779,Coagulopathy
553,C0005940,Bone disorder
554,C0006152,Breast swelling
555,C0006826,Neoplasm malignant
556,C0006840,Candida infection
557,C0700345,Vulvovaginal candidiasis
558,C0007787,Transient ischaemic attack
559,C0007820,Cerebrovascular disorder
560,C0007855,Cervical polyp
561,C0007869,Uterine cervical erosion
562,C0008325,Cholecystitis
563,C0008350,Cholelithiasis
564,C0008489,Chorea
565,C0010072,Coronary artery thrombosis
566,C0011570,Depression
567,C0011616,Dermatitis contact
568,C0012813,Diverticulitis
569,C0013447,Ear disorder
570,C0013922,Embolism
571,C0233459,Emotional disorder
572,C0014130,Endocrine disorder
573,C0014173,Endometrial hyperplasia
574,C0014175,Endometriosis
575,C0014544,Epilepsy
576,C0014743,Erythema nodosum
577,C0015403,Eye infection
578,C0015929,Foetal disorder
579,C0016034,Fibrocystic breast disease
580,C0016977,Gallbladder disorder
581,C0018021,Goitre
582,C0018916,Haemangioma
583,C0018944,Haematoma
584,C0018965,Haematuria
585,C0018989,Hemiparesis
586,C0019079,Haemoptysis
587,C0019112,Haemorrhoids
588,C0019243,Hereditary angioedema
589,C0019348,Herpes simplex
590,C0020437,Hypercalcaemia
591,C0020488,Hypernatraemia
592,C0020598,Hypocalcaemia
593,C0021167,Incontinence
594,C0021368,Inflammation
595,C0021843,Intestinal obstruction
596,C0022354,Jaundice cholestatic
597,C0022408,Arthropathy
598,C0227791,Vaginal discharge
599,C0023903,Hepatic neoplasm
600,C0024103,Breast mass
601,C0024902,Breast pain
602,C0025218,Chloasma
603,C0025286,Meningioma
604,C0025323,Menorrhagia
605,C0027339,Nail disorder
606,C0029134,Optic neuritis
607,C0029882,Otitis media
608,C0030794,Pelvic pain
609,C0032708,Porphyrin metabolism disorder
610,C0033777,Pruritus genital
611,C2242737,Anorectal discomfort
612,C0033775,Anal pruritus
613,C1368065,Vascular purpura
614,C0034150,Purpura
615,C0035328,Retinal vein occlusion
616,C0549567,Pigmentation disorder
617,C0037299,Skin ulcer
618,C0038999,Swelling
619,C0340726,Embolism venous
620,C0040046,Thrombophlebitis
621,C0040053,Thrombosis
622,C0041582,Ulcer
623,C0042133,Uterine leiomyoma
624,C0042134,Uterine haemorrhage
625,C0042251,Vaginal disorder
626,C1112214,Vulvovaginal pruritus
627,C0042345,Varicose vein
628,C0042769,Viral infection
629,C0042994,Vulval disorder
630,C0042998,Vulvovaginitis
631,C0085688,Breast engorgement
632,C0149741,Breast discharge
633,C0149871,Deep vein thrombosis
634,C1320474,Nuchal rigidity
635,C0151604,Oedema genital
636,C0151622,Endometrial disorder
637,C0151671,Glucose tolerance decreased
638,C0151717,Skin hypertrophy
639,C0151766,Liver function test abnormal
640,C0151825,Bone pain
641,C0852911,Blood alkaline phosphatase increased
642,C0151905,Alanine aminotransferase increased
643,C0151907,Skin discolouration
644,C0151994,Uterine enlargement
645,C0152010,Withdrawal bleed
646,C0153567,Uterine cancer
647,C0154002,Benign vaginal neoplasm
648,C0162285,Eyelid oedema
649,C0853026,Porphyria non-acute
650,C0178829,Reproductive tract disorder
651,C0221717,Contact lens intolerance
652,C0234233,Tenderness
653,C0235234,Dry throat
654,C1510431,Thrombophlebitis superficial
655,C0858765,Vascular pain
656,C0235649,Breast oedema
657,C0235660,Galactorrhoea
658,C0566951,Vaginal ulceration
659,C0520588,Vulvovaginal pain
660,C0240717,Perineal pain
661,C0241136,Pain of skin
662,C0241729,Weight fluctuation
663,C0266008,Breast malformation
664,C0267792,Hepatobiliary disease
665,C0267797,Hepatitis acute
666,C0268000,Fluid retention
667,C0269189,Ectropion of cervix
668,C0271650,Glucose tolerance impaired
669,C0332563,Papule
670,C0334492,Malignant mesenchymoma
671,C0343863,Genital candidiasis
672,C0456909,Blindness
673,C0476089,Endometrial cancer
674,C0497327,Dementia
675,C0497365,Rash generalised
676,C0237849,Skin exfoliation
677,C0521490,Application site irritation
678,C0521495,Application site rash
679,C0521845,Drug effect decreased
680,C0521987,Pre-existing disease
681,C0541820,Carbohydrate tolerance decreased
682,C3160741,Toxicity to various agents
683,C0549288,Pelvic venous thrombosis
684,C0553737,Cervical discharge
685,C0554976,Bradyphrenia
686,C0567085,Uterine pain
687,C0575081,Gait disturbance
688,C0577559,Mass
689,C0577730,Family stress
690,C0600327,Toxic shock syndrome
691,C0849916,Generalised erythema
692,C0852908,Drug ineffective
693,C0853020,Blood oestrogen increased
694,C0853700,Application site erythema
695,C0853619,Local swelling
696,C0877338,Breast discomfort
697,C0919714,Retinal vascular thrombosis
698,C0919907,Pleural infection
699,C1112353,Medical device complication
700,C1140680,Ovarian cancer
701,C0549405,Blood pressure fluctuation
702,C1458155,Breast neoplasm
703,C2004487,Vaginismus
704,C2609183,Abnormal withdrawal bleeding
705,C2981158,Loss of libido
706,C0001122,Acidosis
707,C0002962,Angina pectoris
708,C0024115,Lung disorder
709,C0546817,Fluid overload
710,C0006285,Bronchopneumonia
711,C0006849,Oral candidiasis
712,C0011849,Diabetes mellitus
713,C0232602,Retching
714,C0017672,Glossodynia
715,C0018802,Cardiac failure congestive
716,C0020625,Hyponatraemia
717,C0027726,Nephrotic syndrome
718,C0034063,Pulmonary oedema
719,C0035078,Renal failure
720,C0038160,Staphylococcal infection
721,C0042487,Venous thrombosis
722,C0151799,Skin necrosis
723,C0221150,Odynophagia
724,C0855775,Pulmonary function test decreased
725,C0235063,Respiratory depression
726,C0235874,Condition aggravated
727,C0239134,Productive cough
728,C0242184,Hypoxia
729,C2363730,Oropharyngeal discomfort
730,C2363731,Oropharyngeal pain
731,C0520837,Forced expiratory volume decreased
732,C0546884,Hypovolaemia
733,C0555358,Morbid thoughts
734,C0600260,Obstructive airways disorder
735,C0853960,Bacterial disease carrier
736,C0854425,Sputum discoloured
737,C0342579,Electrolyte imbalance
738,C0876973,Lung infection
739,C0877134,Hernia pain
740,C1167761,Fungal test positive
741,C1527344,Dysphonia
742,C1740793,Post-tussive vomiting
743,C0002888,Anaemia megaloblastic
744,C0003708,Arachnoiditis
745,C0007642,Cellulitis
746,C0007760,Cerebellar syndrome
747,C0016689,Ephelides
748,C0036651,Solar lentigo
749,C0018378,Guillain-Barre syndrome
750,C0018800,Cardiomegaly
751,C0018991,Hemiplegia
752,C0020255,Hydrocephalus
753,C0020433,Hyperbilirubinaemia
754,C0020621,Hypokalaemia
755,C0021061,Immunology test
756,C0022568,Keratitis
757,C0023885,Liver abscess
758,C0025287,Meningism
759,C0025289,Meningitis
760,C0027947,Neutropenia
761,C0221165,Diplegia
762,C0030486,Paraplegia
763,C0085622,Monoplegia
764,C0031046,Pericarditis
765,C0031154,Peritonitis
766,C1112565,Pneumatosis intestinalis
767,C0034933,Reflexes abnormal
768,C0035222,Acute respiratory distress syndrome
769,C0221166,Paraparesis
770,C0037928,Spinal cord disorder
771,C0041364,Tumour lysis syndrome
772,C0041956,Ureteric obstruction
773,C0079744,Diffuse large B-cell lymphoma
774,C0151311,Cranial nerve paralysis
775,C0151313,Peripheral sensory neuropathy
776,C0151479,Amylase increased
777,C0151970,Oesophageal ulcer
778,C2242588,Traumatic liver injury
779,C0206062,Interstitial lung disease
780,C0231835,Tachypnoea
781,C0235031,Neurological symptom
782,C0235032,Neurotoxicity
783,C0238634,Anal inflammation
784,C0240735,Personality change
785,C0270612,Leukoencephalopathy
786,C0311468,Blood bilirubin increased
787,C0333355,Mucosal inflammation
788,C0009241,Cognitive disorder
789,C0343084,Capillary leak syndrome
790,C0392386,Platelet count decreased
791,C0392548,Cauda equina syndrome
792,C0423602,Sensation of foreign body
793,C0438717,Transaminases increased
794,C0476273,Respiratory distress
795,C0549475,Lipase increased
796,C0600228,Cardio-respiratory arrest
797,C0235416,Blood uric acid increased
798,C0740394,Hyperuricaemia
799,C0847033,Allergic oedema
800,C0876994,Cardiotoxicity
801,C0878544,Cardiomyopathy
802,C0919924,Pulmonary toxicity
803,C0948441,Venoocclusive disease
804,C0948692,Necrotising colitis
805,C1258215,Ileus
806,C1262036,Ocular toxicity
807,C1287298,Urine output
808,C1318520,Vasculitis necrotising
809,C1963775,Cytarabine syndrome
810,C0852925,Gastrointestinal necrosis
811,C3241936,Non-cardiogenic pulmonary oedema
812,C0017086,Gangrene
813,C0027540,Necrosis
814,C0031924,Piloerection
815,C0242528,Azotaemia
816,C0429098,Electrocardiogram QRS complex
817,C0392525,Nephrolithiasis
818,C0034186,Pyelonephritis
819,C0151828,Injection site pain
820,C0232726,Rectal tenesmus
821,C0034886,Proctalgia
822,C0341212,Gastrointestinal fistula
823,C0155862,Pneumonia streptococcal
824,C0010346,Crohn's disease
825,C0853813,Local reaction
826,C0001925,Albuminuria
827,C0024523,Malabsorption
828,C0025281,Meniere's disease
829,C0028738,Nystagmus
830,C0028961,Oliguria
831,C0235280,Ototoxicity
832,C0522224,Paralysis
833,C0595916,Nephropathy toxic
834,C0020557,Hypertriglyceridaemia
835,C0853692,Blood triglycerides increased
836,C0033117,Priapism
837,C0033581,Prostatitis
838,C0033687,Proteinuria
839,C0948586,Protein urine present
840,C0033860,Psoriasis
841,C0035258,Restless legs syndrome
842,C0038354,Gastric disorder
843,C1963818,Gastrointestinal sounds abnormal
844,C0234632,Visual acuity reduced
845,C0235351,Tongue ulceration
846,C0236065,Oedema mouth
847,C0239816,Hand dermatitis
848,C0438215,Laboratory test abnormal
849,C0522351,Vertigo positional
850,C0853945,Oral mucosal blistering
851,C0860514,Dreamy state
852,C2697368,Gastrointestinal tract irritation
853,C0000889,Acanthosis nigricans
854,C0003962,Ascites
855,C0008370,Cholestasis
856,C0011630,Fungal skin infection
857,C0015732,Faecal incontinence
858,C0016059,Fibrosis
859,C0242301,Furuncle
860,C0017601,Glaucoma
861,C0018099,Gout
862,C0019209,Hepatomegaly
863,C0019270,Hernia
864,C0020459,Hyperinsulinism
865,C0852795,Blood insulin increased
866,C0020676,Hypothyroidism
867,C0870082,Hyperkeratosis
868,C0023052,Laryngeal oedema
869,C0023066,Laryngospasm
870,C0024440,Cystoid macular oedema
871,C0026848,Myopathy
872,C0030920,Peptic ulcer
873,C0037286,Neoplasm skin
874,C0151603,Generalised oedema
875,C0151691,High density lipoprotein decreased
876,C0151785,Mucous membrane disorder
877,C0085932,Dermatitis bullous
878,C0085641,Rash pustular
879,C0162834,Skin hyperpigmentation
880,C0241057,Skin burning sensation
881,C0271051,Macular oedema
882,C0302314,Xanthoma
883,C0524620,Metabolic syndrome
884,C0595877,Blood glucose increased
885,C0151942,Arterial thrombosis
886,C0019521,Hiccups
887,C0038363,Aphthous stomatitis
888,C0005758,Blister
889,C0341012,Oral herpes
890,C0028043,Nicotine dependence
891,C0035232,Respiratory paralysis
892,C0038587,Withdrawal syndrome
893,C0040128,Thyroid disorder
894,C0162287,Abnormal faeces
895,C0234131,Motor dysfunction
896,C0275378,Tobacco poisoning
897,C0858259,Nasal discomfort
898,C0264267,Nasal ulcer
899,C0399459,Oral discomfort
900,C0439857,Dependence
901,C1167842,Tobacco withdrawal symptoms
902,C0001125,Lactic acidosis
903,C0151795,Injection site necrosis
904,C0019054,Haemolysis
